Country,Continent,Flag,Aliases
Denmark,Europe,data/flags/denmark.png,
Greece,Europe,data/flags/greece.png,Hellas
Latvia,Europe,data/flags/latvia.png,
Djibouti,Africa,data/flags/djibouti.png,
Ireland,Europe,data/flags/ireland.png,Éire|Eire
Morocco,Africa,data/flags/morocco.png,
Lithuania,Europe,data/flags/lithuania.png,
El Salvador,North America,data/flags/el-salvador.png,
Albania,Europe,data/flags/albania.png,
North Macedonia,Europe,data/flags/north-macedonia.png,Macedonia|FYROM|Republic of North Macedonia
South Sudan,Africa,data/flags/south-sudan.png,
Paraguay,South America,data/flags/paraguay.png,
Portugal,Europe,data/flags/portugal.png,
Guinea-Bissau,Africa,data/flags/guinea-bissau.png,
Slovakia,Europe,data/flags/slovakia.png,
Estonia,Europe,data/flags/estonia.png,
Australia,Oceania,data/flags/australia.png,Oz
Namibia,Africa,data/flags/namibia.png,South-West Africa
Tanzania,Africa,data/flags/tanzania.png,
Papua New Guinea,Oceania,data/flags/papua-new-guinea.png,PNG
Ivory Coast,Africa,data/flags/ivory-coast.png,Côte d'Ivoire|Cote d'Ivoire
Lebanon,Asia,data/flags/lebanon.png,
Bolivia,South America,data/flags/bolivia.png,
Puerto Rico (US),North America,data/flags/puerto-rico.png,PR
Costa Rica,North America,data/flags/costa-rica.png,
Lesotho,Africa,data/flags/lesotho.png,Basutoland
Cyprus,Asia,data/flags/cyprus.png,
Slovenia,Europe,data/flags/slovenia.png,
Timor-Leste,Asia,data/flags/timor-leste.png,East Timor
Bosnia and Herzegovina,Europe,data/flags/bosnia-and-herzegovina.png,Bosnia|BiH
Bahamas,North America,data/flags/bahamas.png,The Bahamas
Botswana,Africa,data/flags/botswana.png,Bechuanaland
Benin,Africa,data/flags/benin.png,Dahomey
India,Asia,data/flags/india.png,Bharat
Suriname,South America,data/flags/suriname.png,Surinam
Kosovo,Europe,data/flags/kosovo.png,
Sahrawi Arab Democratic Republic,Africa,data/flags/sahrawi-arab-democratic-republic.png,Western Sahara|SADR
New Zealand,Oceania,data/flags/new-zealand.png,NZ|Aotearoa
Maldives,Asia,data/flags/maldives.png,
Bahrain,Asia,data/flags/bahrain.png,
Montenegro,Europe,data/flags/montenegro.png,Crna Gora
Belgium,Europe,data/flags/belgium.png,
Cape Verde,Africa,data/flags/cape-verde.png,Cabo Verde
Mauritius,Africa,data/flags/mauritius.png,
Curaçao (Netherlands),North America,data/flags/curacao.png,
Luxembourg,Europe,data/flags/luxembourg.png,
Burundi,Africa,data/flags/burundi.png,
Switzerland,Europe,data/flags/switzerland.png,Helvetia|Schweiz|Suisse
Transnistria,Europe,data/flags/transnistria.png,Pridnestrovie|PMR
Iceland,Europe,data/flags/iceland.png,
Guyana,South America,data/flags/guyana.png,British Guiana
Bhutan,Asia,data/flags/bhutan.png,
Comoros,Africa,data/flags/comoros.png,
Barbados,North America,data/flags/barbados.png,
Sri Lanka,Asia,data/flags/sri-lanka.png,Ceylon
Brunei,Asia,data/flags/brunei.png,Brunei Darussalam
Eswatini,Africa,data/flags/eswatini.png,Swaziland
New Caledonia (France),Oceania,data/flags/new-caledonia.png,
Fiji,Oceania,data/flags/fiji.png,
Solomon Islands,Oceania,data/flags/solomon-islands.png,
São Tomé and Príncipe,Africa,data/flags/sao-tome-and-principe.png,STP|Sao Tome and Principe
Kiribati,Oceania,data/flags/kiribati.png,
Kuwait,Asia,data/flags/kuwait.png,
Vanuatu,Oceania,data/flags/vanuatu.png,New Hebrides
Northern Mariana Islands (USA),Oceania,data/flags/northern-mariana-islands.png,CNMI|Northern Marianas
Samoa,Oceania,data/flags/samoa.png,Western Samoa
Palestine,Asia,data/flags/palestine.png,Palestinian Territories|State of Palestine
Monaco,Europe,data/flags/monaco.png,
Trinidad and Tobago,North America,data/flags/trinidad-and-tobago.png,Trinidad|TT
Grenada,North America,data/flags/grenada.png,
Gambia,Africa,data/flags/gambia.png,The Gambia
Aruba (Netherlands),North America,data/flags/aruba.png,
Tonga,Oceania,data/flags/tonga.png,
Seychelles,Africa,data/flags/seychelles.png,
French Polynesia (France),Oceania,data/flags/french-polynesia.png,Tahiti
Andorra,Europe,data/flags/andorra.png,
Antigua and Barbuda,North America,data/flags/antigua-and-barbuda.png,Antigua
Belize,North America,data/flags/belize.png,British Honduras
Greenland (Denmark),North America,data/flags/greenland.png,
